year,anomaly,station_name,station_number,latitude,longitude
2021,-0.475084239,Bathurst,63005,-33.43,149.56
2022,-0.432554075,Bathurst,63005,-33.43,149.56
2023,0.683318212,Bathurst,63005,-33.43,149.56
1954,-1.26717196,Birdsville,38026,-25.9,139.35
1955,-0.990141063,Birdsville,38026,-25.9,139.35
1956,-1.663312446,Birdsville,38026,-25.9,139.35
1957,-0.296183018,Birdsville,38026,-25.9,139.35
1958,-0.438943733,Birdsville,38026,-25.9,139.35
1959,-0.174431207,Birdsville,38026,-25.9,139.35
1960,-1.276929602,Birdsville,38026,-25.9,139.35
1961,-0.658962711,Birdsville,38026,-25.9,139.35
1962,-0.499781387,Birdsville,38026,-25.9,139.35
1963,-0.188357538,Birdsville,38026,-25.9,139.35
1964,-0.916668031,Birdsville,38026,-25.9,139.35
1965,0.376733109,Birdsville,38026,-25.9,139.35
1966,-1.285449461,Birdsville,38026,-25.9,139.35
1967,-0.100908156,Birdsville,38026,-25.9,139.35
1968,-0.334369058,Birdsville,38026,-25.9,139.35
1969,-0.040214724,Birdsville,38026,-25.9,139.35
1970,-1.329955107,Birdsville,38026,-25.9,139.35
1971,-0.920156338,Birdsville,38026,-25.9,139.35
1972,0.111270763,Birdsville,38026,-25.9,139.35
1973,0.100271031,Birdsville,38026,-25.9,139.35
1974,-1.361416863,Birdsville,38026,-25.9,139.35
1975,-0.866278166,Birdsville,38026,-25.9,139.35
1976,-2.08541442,Birdsville,38026,-25.9,139.35
1977,-0.819287166,Birdsville,38026,-25.9,139.35
1978,-1.17466672,Birdsville,38026,-25.9,139.35
